Date,Title,Tags,Status,File
2026-08-21,Evaluating LLM Outputs in CI/CD: Testing Your AI Features Like Production Code,"llm, testing, ai-agents, azure-ai-foundry, ci-cd",Published,2026-08-21-evaluating-llm-outputs-in-ci-cd.md
2026-08-25,"Getting Started with Claude Code: Setup, Environment, and Best Practices","ai-agents, ai-coding-tools, agentic-development, developer-productivity, tooling",Published,2026-08-25-getting-started-with-claude-code.md
2026-08-28,GitHub Secret Scanning Custom Patterns: Finding Business-Specific Credentials Before They Ship,"secret-scanning, github-advanced-security, devsecops, security",Published,2026-08-28-github-secret-scanning-custom-patterns.md
2026-09-01,"Getting Started with GitHub Copilot: Setup, Environment, and Best Practices","ai-agents, ai-coding-tools, agentic-development, developer-productivity, tooling",Published,2026-09-01-getting-started-with-github-copilot.md
2026-09-04,"Azure AI Foundry Agents: Memory, Tool Calling, and Retrieval-Augmented Generation","azure-ai-foundry, ai-agents, rag, azure-ai-search, agentic-development",Published,2026-09-04-azure-ai-foundry-agents-memory-tool-calling-rag.md
2026-09-08,"Getting Started with OpenAI Codex: Setup, Environment, and Best Practices","ai-agents, ai-coding-tools, agentic-development, developer-productivity, tooling",Published,2026-09-08-getting-started-with-openai-codex.md
2026-09-11,"GitHub Merge Queues: Safe, Scalable Merging Without Branch Protection Bottlenecks","github, ci-cd, developer-productivity, branch-protection, platform-engineering",Published,2026-09-11-github-merge-queues.md
2026-09-15,"Getting Started with Cursor: Setup, Environment, and Best Practices","ai-agents, ai-coding-tools, agentic-development, developer-productivity, tooling",Published,2026-09-15-getting-started-with-cursor.md
2026-09-18,"RAG in Production: Chunking, Indexing, and Observability with Azure AI Search","rag, azure-ai-search, azure-ai-foundry, llm, agentic-development",Published,2026-09-18-rag-in-production-chunking-indexing-observability-azure-ai-search.md
2026-09-22,"Getting Started with Kiro: Setup, Environment, and Best Practices","ai-agents, ai-coding-tools, agentic-development, developer-productivity, aws",Published,2026-09-22-getting-started-with-kiro.md
2026-09-25,"GitHub Packages as an Internal Registry: Publishing and Consuming npm, Docker, and Maven Artifacts","github-packages, github-actions, ci-cd, artifact-management, platform-engineering",Published,2026-09-25-github-packages-internal-registry.md
2026-09-29,The Top 5 .NET Architecture Patterns Compared: Which One Should You Choose?,"dotnet, architecture, microservices, platform-engineering, developer-productivity",Draft,2026-09-29-top-5-dotnet-architecture-patterns-compared.md
2026-10-02,Responsible AI in the SDLC: Governance Gates You Can Automate with GitHub Actions,"responsible-ai, azure-ai-foundry, devsecops, compliance, governance",Published,2026-10-02-responsible-ai-governance-gates-github-actions.md
2026-10-06,Getting Started with Clean Architecture in .NET,"dotnet, architecture, testing, developer-productivity",Draft,2026-10-06-getting-started-with-clean-architecture-dotnet.md
2026-10-09,"GitHub Codespaces for Team Onboarding: Eliminating Works on My Machine"" at Scale""","github-codespaces, developer-productivity, devcontainer, onboarding",Published,2026-10-09-github-codespaces-team-onboarding.md
2026-10-13,Getting Started with Layered (N-Tier) Architecture in .NET,"dotnet, architecture, testing, developer-productivity",Draft,2026-10-13-getting-started-with-layered-architecture-dotnet.md
2026-10-16,Agentic Code Review: Using AI Agents to Enforce Architecture Rules on Every PR,"ai-agents, code-review, azure-ai-foundry, github-actions, architecture",Published,2026-10-16-agentic-code-review-architecture-rules.md
2026-10-20,Getting Started with Vertical Slice Architecture in .NET,"dotnet, architecture, developer-productivity, tooling",Draft,2026-10-20-getting-started-with-vertical-slice-architecture-dotnet.md
2026-10-23,GitHub Actions Self-Hosted Runners: Security Hardening for Production Workloads,"github-actions, security, devsecops, runners, platform-engineering",Published,2026-10-23-github-actions-self-hosted-runners-security-hardening.md
2026-10-27,Getting Started with Modular Monolith Architecture in .NET,"dotnet, architecture, microservices, platform-engineering, ci-cd",Draft,2026-10-27-getting-started-with-modular-monolith-dotnet.md
2026-10-30,"LLMOps: Versioning, Testing, and Deploying Prompts as First-Class Artifacts","llmops, azure-ai-foundry, prompt-engineering, ci-cd, agentic-development",Published,2026-10-30-llmops-versioning-testing-deploying-prompts.md
2026-11-03,Getting Started with Microservices Architecture in .NET,"dotnet, architecture, microservices, observability, devops",Draft,2026-11-03-getting-started-with-microservices-dotnet.md
2026-11-06,Azure AI Foundry Fine-Tuning: When to Customize a Model vs. When to Prompt Better,"azure-ai-foundry, fine-tuning, llm, agentic-development, azure",Published,2026-11-06-azure-ai-foundry-fine-tuning-customize-vs-prompt.md
2026-11-10,The Top 5 .NET Logging Frameworks Compared: Which One Should You Choose?,"dotnet, logging, observability, performance, tooling",Draft,2026-11-10-top-5-dotnet-logging-frameworks-compared.md
2026-11-13,Policy as Code with OPA and GitHub Actions: Enforcing Org Standards at the Merge Gate,"policy-as-code, opa, github-actions, devsecops, compliance",Published,2026-11-13-policy-as-code-opa-github-actions.md
2026-11-17,Getting Started with Microsoft.Extensions.Logging in ASP.NET Core,"dotnet, logging, observability, developer-productivity",Draft,2026-11-17-getting-started-with-microsoft-extensions-logging-in-aspnet-core.md
2026-11-20,"Internal Developer Platforms with GitHub: Backstage, Service Catalog, and the GitHub API","developer-platform, backstage, github, platform-engineering, developer-productivity",Published,2026-11-20-internal-developer-platforms-backstage-github-api.md
2026-11-24,Getting Started with Serilog in ASP.NET Core,"dotnet, logging, observability, tooling",Draft,2026-11-24-getting-started-with-serilog-in-aspnet-core.md
2026-11-27,Agentic QA: How AI Agents Are Reshaping Test Generation and Exploratory Testing,"ai-agents, testing, agentic-development, azure-ai-foundry, developer-productivity",Published,2026-11-27-agentic-qa-ai-test-generation-exploratory-testing.md
2026-12-01,Getting Started with NLog in ASP.NET Core,"dotnet, logging, devops, tooling",Draft,2026-12-01-getting-started-with-nlog-in-aspnet-core.md
2026-12-04,GitHub Advanced Security at the Org Level: Rolling Out GHAS Across 100+ Repos,"github-advanced-security, devsecops, platform-engineering, codeql, secret-scanning",Published,2026-12-04-github-advanced-security-org-rollout.md
2026-12-08,Getting Started with ZLogger in ASP.NET Core,"dotnet, logging, performance, observability",Draft,2026-12-08-getting-started-with-zlogger-in-aspnet-core.md
2026-12-11,Azure AI Foundry MCP Servers: Building and Registering Custom Tools for Your Agents,"azure-ai-foundry, mcp, ai-agents, agentic-development, azure",Published,2026-12-11-azure-ai-foundry-mcp-servers-custom-tools.md
2026-12-15,Getting Started with log4net in ASP.NET Core,"dotnet, logging, tooling, developer-productivity",Draft,2026-12-15-getting-started-with-log4net-in-aspnet-core.md
2026-12-18,"The DevSecOps Year in Review 2026: What Shipped, What Mattered, What's Next","devsecops, year-in-review, github, azure-ai-foundry, editorial",Published,2026-12-18-devsecops-year-in-review-2026.md
2026-12-25,Async-First Development: Writing Code and Processes That Work Across Time Zones,"developer-productivity, remote-work, writing-for-engineers, git, async",Published,2026-12-25-async-first-development-across-time-zones.md
2027-01-05,The Top 5 .NET Testing Frameworks Compared: Which One Should You Choose?,"dotnet, testing, performance, tooling, developer-productivity",Draft,2027-01-05-top-5-dotnet-testing-frameworks-compared.md
2027-01-07,"AWS Lambda in 2027: Container Images, Performance Insights, and the $0.20/Million Invocation Reality","aws, serverless, cost-optimization, lambda, devops",Published,2027-01-07-aws-lambda-in-2027-container-images-performance-cost.md
2027-01-12,Getting Started with xUnit in .NET,"dotnet, testing, ci-cd, developer-productivity",Draft,2027-01-12-getting-started-with-xunit.md
2027-01-19,Getting Started with NUnit in .NET,"dotnet, testing, developer-productivity, tooling",Draft,2027-01-19-getting-started-with-nunit.md
2027-01-26,Getting Started with MSTest in .NET,"dotnet, testing, tooling, devops",Draft,2027-01-26-getting-started-with-mstest.md
2027-02-02,Getting Started with TUnit in .NET,"dotnet, testing, performance, ci-cd, tooling",Draft,2027-02-02-getting-started-with-tunit.md
2027-02-09,Getting Started with Expecto in .NET (F#),"dotnet, testing, developer-productivity, tooling",Draft,2027-02-09-getting-started-with-expecto.md
2027-02-16,The Top 5 .NET ORMs Compared: Which One Should You Choose?,"dotnet, orm, database, performance, architecture",Draft,2027-02-16-top-5-dotnet-orms-compared.md
2027-02-23,Getting Started with EF Core in .NET,"dotnet, orm, database, performance, developer-productivity",Draft,2027-02-23-getting-started-with-ef-core.md
2027-03-02,Getting Started with Dapper in .NET,"dotnet, orm, database, performance, security",Draft,2027-03-02-getting-started-with-dapper.md
2027-03-09,Getting Started with NHibernate in .NET,"dotnet, orm, database, architecture, tooling",Draft,2027-03-09-getting-started-with-nhibernate.md
2027-03-16,Getting Started with Linq2Db in .NET,"dotnet, orm, database, performance, tooling",Draft,2027-03-16-getting-started-with-linq2db.md
2027-03-23,Getting Started with RepoDb in .NET,"dotnet, orm, database, performance, developer-productivity",Draft,2027-03-23-getting-started-with-repodb.md
2027-03-30,The Top 5 .NET API Styles Compared: Which One Should You Choose?,"dotnet, api-design, architecture, performance, developer-productivity",Draft,2027-03-30-top-5-dotnet-api-styles-compared.md
2027-04-06,Getting Started with Minimal APIs in .NET,"dotnet, api-design, developer-productivity, tooling",Draft,2027-04-06-getting-started-with-minimal-apis.md
2027-04-13,Getting Started with Controllers (MVC) in .NET,"dotnet, api-design, developer-productivity, tooling",Draft,2027-04-13-getting-started-with-controllers-mvc.md
2027-04-20,Getting Started with GraphQL (Hot Chocolate) in .NET,"dotnet, api-design, graphql, performance, architecture",Draft,2027-04-20-getting-started-with-graphql-hotchocolate.md
2027-04-27,Getting Started with SignalR in .NET,"dotnet, api-design, real-time, architecture, devops",Draft,2027-04-27-getting-started-with-signalr.md
2027-05-04,Getting Started with gRPC in .NET,"dotnet, api-design, grpc, performance, microservices",Draft,2027-05-04-getting-started-with-grpc-dotnet.md
2027-05-11,The Top 5 .NET Validation Approaches Compared: Which One Should You Choose?,"dotnet, validation, security, performance, developer-productivity",Draft,2027-05-11-top-5-dotnet-validation-approaches-compared.md
2027-05-18,Getting Started with FluentValidation in .NET,"dotnet, validation, developer-productivity, tooling",Draft,2027-05-18-getting-started-with-fluentvalidation.md
2027-05-25,Getting Started with DataAnnotations in .NET,"dotnet, validation, developer-productivity, tooling",Draft,2027-05-25-getting-started-with-dataannotations.md
2027-06-01,Getting Started with Custom Validation in .NET,"dotnet, validation, architecture, developer-productivity",Draft,2027-06-01-getting-started-with-custom-validation.md
2027-06-08,Getting Started with Native Minimal API Validation in .NET 10,"dotnet, validation, developer-productivity, tooling",Draft,2027-06-08-getting-started-with-native-minimal-api-validation.md
2027-06-15,Getting Started with MiniValidation in .NET,"dotnet, validation, performance, developer-productivity",Draft,2027-06-15-getting-started-with-minivalidation.md
2027-06-22,The Top 5 .NET Mapping Libraries Compared: Which One Should You Choose?,"dotnet, tooling, performance, architecture, developer-productivity",Draft,2027-06-22-top-5-dotnet-mapping-libraries-compared.md
2027-06-29,Getting Started with AutoMapper in .NET,"dotnet, tooling, developer-productivity, architecture",Draft,2027-06-29-getting-started-with-automapper.md
2027-07-06,Getting Started with Mapster in .NET,"dotnet, tooling, developer-productivity, performance",Draft,2027-07-06-getting-started-with-mapster.md
2027-07-13,Getting Started with Mapperly in .NET,"dotnet, tooling, performance, developer-productivity",Draft,2027-07-13-getting-started-with-mapperly.md
2027-07-20,Getting Started with Facet in .NET,"dotnet, tooling, architecture, developer-productivity",Draft,2027-07-20-getting-started-with-facet.md
2027-07-27,Getting Started with Manual Mapping in .NET,"dotnet, tooling, developer-productivity, architecture",Draft,2027-07-27-getting-started-with-manual-mapping.md
2027-08-03,The Top 5 Caching Solutions for .NET Compared: Which One Should You Choose?,"dotnet, caching, performance, architecture, devops",Draft,2027-08-03-top-5-dotnet-caching-solutions-compared.md
2027-08-10,Getting Started with IMemoryCache in .NET,"dotnet, caching, performance, developer-productivity",Draft,2027-08-10-getting-started-with-imemorycache.md
2027-08-17,Getting Started with Redis in .NET,"dotnet, caching, performance, architecture, devops",Draft,2027-08-17-getting-started-with-redis-dotnet.md
2027-08-24,Getting Started with Garnet in .NET,"dotnet, caching, performance, tooling",Draft,2027-08-24-getting-started-with-garnet.md
2027-08-31,Getting Started with Memcached in .NET,"dotnet, caching, performance, tooling",Draft,2027-08-31-getting-started-with-memcached.md
2027-09-07,Getting Started with NCache in .NET,"dotnet, caching, architecture, developer-productivity",Draft,2027-09-07-getting-started-with-ncache.md
2027-09-14,The Top 5 Message Brokers for .NET Compared: Which One Should You Choose?,"dotnet, messaging, architecture, microservices, devops",Draft,2027-09-14-top-5-dotnet-message-brokers-compared.md
2027-09-21,Getting Started with RabbitMQ in .NET,"dotnet, messaging, architecture, developer-productivity",Draft,2027-09-21-getting-started-with-rabbitmq.md
2027-09-28,Getting Started with Kafka in .NET,"dotnet, messaging, architecture, performance, microservices",Draft,2027-09-28-getting-started-with-kafka.md
2027-10-05,Getting Started with Azure Service Bus in .NET,"dotnet, messaging, cloud, architecture, devops",Draft,2027-10-05-getting-started-with-azure-service-bus.md
2027-10-12,Getting Started with Amazon SQS in .NET,"dotnet, messaging, cloud, architecture, devops",Draft,2027-10-12-getting-started-with-amazon-sqs.md
2027-10-19,Getting Started with NATS in .NET,"dotnet, messaging, architecture, performance, microservices",Draft,2027-10-19-getting-started-with-nats.md
2027-10-26,The Top 5 Background Job Libraries for .NET Compared: Which One Should You Choose?,"dotnet, tooling, architecture, devops, developer-productivity",Draft,2027-10-26-top-5-dotnet-background-job-libraries-compared.md
2027-11-02,Getting Started with Hangfire in .NET,"dotnet, tooling, architecture, developer-productivity",Draft,2027-11-02-getting-started-with-hangfire.md
2027-11-09,Getting Started with Quartz.NET in .NET,"dotnet, tooling, architecture, developer-productivity",Draft,2027-11-09-getting-started-with-quartznet.md
2027-11-16,Getting Started with Coravel in .NET,"dotnet, tooling, developer-productivity",Draft,2027-11-16-getting-started-with-coravel.md
2027-11-23,Getting Started with Wolverine in .NET,"dotnet, messaging, architecture, performance",Draft,2027-11-23-getting-started-with-wolverine.md
2027-11-30,Getting Started with Azure Functions Timer Triggers in .NET,"dotnet, cloud, architecture, devops",Draft,2027-11-30-getting-started-with-azure-functions-timer-triggers.md
2027-12-07,The Top 5 .NET Mocking Libraries Compared: Which One Should You Choose?,"dotnet, testing, tooling, developer-productivity",Draft,2027-12-07-top-5-dotnet-mocking-libraries-compared.md
2027-12-14,Getting Started with Moq in .NET,"dotnet, testing, tooling, developer-productivity",Draft,2027-12-14-getting-started-with-moq.md
2027-12-21,Getting Started with NSubstitute in .NET,"dotnet, testing, tooling, developer-productivity",Draft,2027-12-21-getting-started-with-nsubstitute.md
2027-12-28,Getting Started with FakeItEasy in .NET,"dotnet, testing, tooling, developer-productivity",Draft,2027-12-28-getting-started-with-fakeiteasy.md
2028-01-04,Getting Started with JustMock in .NET,"dotnet, testing, tooling, developer-productivity",Draft,2028-01-04-getting-started-with-justmock.md
2028-01-11,Getting Started with Rocks in .NET,"dotnet, testing, tooling, performance",Draft,2028-01-11-getting-started-with-rocks.md
2028-01-18,The Top 5 .NET Architecture & Quality Enforcement Tools Compared: Which One Should You Choose?,"dotnet, architecture, code-quality, testing, ci-cd",Draft,2028-01-18-top-5-dotnet-architecture-quality-tools-compared.md
2028-01-25,Getting Started with SonarQube in .NET,"dotnet, architecture, code-quality, ci-cd",Draft,2028-01-25-getting-started-with-sonarqube.md
2028-02-01,Getting Started with NetArchTest in .NET,"dotnet, architecture, testing, developer-productivity",Draft,2028-02-01-getting-started-with-netarchtest.md
2028-02-08,Getting Started with ArchUnitNET in .NET,"dotnet, architecture, testing, developer-productivity",Draft,2028-02-08-getting-started-with-archunitnet.md
2028-02-15,Getting Started with NDepend in .NET,"dotnet, architecture, code-quality, tooling",Draft,2028-02-15-getting-started-with-ndepend.md
2028-02-22,Getting Started with Roslyn Analyzers in .NET,"dotnet, architecture, code-quality, developer-productivity",Draft,2028-02-22-getting-started-with-roslyn-analyzers.md
2028-02-29,The Top 5 CI/CD Platforms for .NET Compared: Which One Should You Choose?,"dotnet, ci-cd, devops, platform-engineering, tooling",Draft,2028-02-29-top-5-cicd-platforms-dotnet-compared.md
2028-03-07,Getting Started with GitHub Actions for .NET,"dotnet, ci-cd, devops, tooling",Draft,2028-03-07-getting-started-with-github-actions-dotnet.md
2028-03-14,Getting Started with Azure DevOps for .NET,"dotnet, ci-cd, cloud, devops, tooling",Draft,2028-03-14-getting-started-with-azure-devops-dotnet.md
2028-03-21,Getting Started with GitLab CI for .NET,"dotnet, ci-cd, devops, security, tooling",Draft,2028-03-21-getting-started-with-gitlab-ci-dotnet.md
2028-03-28,Getting Started with Jenkins for .NET,"dotnet, ci-cd, devops, platform-engineering, tooling",Draft,2028-03-28-getting-started-with-jenkins-dotnet.md
2028-04-04,Getting Started with TeamCity for .NET,"dotnet, ci-cd, devops, tooling",Draft,2028-04-04-getting-started-with-teamcity-dotnet.md
2028-04-11,The Top 5 Ways to Deploy .NET Apps Compared: Which One Should You Choose?,"dotnet, deployment, containers, platform-engineering, devops",Draft,2028-04-11-top-5-dotnet-deployment-options-compared.md
2028-04-18,Getting Started with Azure Container Apps for .NET Deployment,"dotnet, deployment, azure, containers, devops",Draft,2028-04-18-getting-started-with-azure-container-apps.md
2028-04-25,Getting Started with AWS ECS/Fargate for .NET Deployment,"dotnet, deployment, aws, containers, devops",Draft,2028-04-25-getting-started-with-aws-ecs-fargate.md
2028-05-02,Getting Started with Docker + Kubernetes for .NET Deployment,"dotnet, deployment, kubernetes, containers, devops",Draft,2028-05-02-getting-started-with-docker-kubernetes-dotnet.md
2028-05-09,Getting Started with IIS for .NET Deployment,"dotnet, deployment, iis, windows, devops",Draft,2028-05-09-getting-started-with-iis-dotnet.md
2028-05-16,Getting Started with .NET Aspire's Deploy Workflow,"dotnet, deployment, aspire, azure, devops",Draft,2028-05-16-getting-started-with-aspire-deploy-workflow.md
2028-05-23,The Top 5 Auth & Identity Solutions for .NET Compared: Which One Should You Choose?,"dotnet, security, identity, oidc, architecture",Draft,2028-05-23-top-5-auth-identity-solutions-dotnet-compared.md
2028-05-30,Getting Started with ASP.NET Core Identity,"dotnet, security, identity, aspnet-core",Draft,2028-05-30-getting-started-with-aspnet-core-identity.md
2028-06-06,Getting Started with Microsoft Entra External ID for .NET,"dotnet, security, identity, azure, oidc",Draft,2028-06-06-getting-started-with-entra-external-id.md
2028-06-13,Getting Started with Duende IdentityServer,"dotnet, security, identity, oidc, architecture",Draft,2028-06-13-getting-started-with-duende-identityserver.md
2028-06-20,Getting Started with Keycloak for .NET,"dotnet, security, identity, oidc, devops",Draft,2028-06-20-getting-started-with-keycloak-dotnet.md
2028-06-27,Getting Started with Auth0 for .NET,"dotnet, security, identity, oidc, tooling",Draft,2028-06-27-getting-started-with-auth0-dotnet.md
2028-07-04,The Top 5 .NET IDEs & Editors Compared: Which One Should You Choose?,"dotnet, tooling, developer-productivity, ai-coding-tools",Draft,2028-07-04-top-5-dotnet-ides-editors-compared.md
2028-07-11,Getting Started with Visual Studio for .NET Development,"dotnet, tooling, developer-productivity",Draft,2028-07-11-getting-started-with-visual-studio.md
2028-07-18,Getting Started with JetBrains Rider for .NET Development,"dotnet, tooling, developer-productivity",Draft,2028-07-18-getting-started-with-rider.md
2028-07-25,Getting Started with VS Code for .NET Development,"dotnet, tooling, developer-productivity",Draft,2028-07-25-getting-started-with-vscode-dotnet.md
2028-08-01,Getting Started with C# Development in Cursor,"dotnet, tooling, developer-productivity, ai-coding-tools",Draft,2028-08-01-getting-started-with-cursor-dotnet.md
2028-08-08,Getting Started with Neovim for .NET Development,"dotnet, tooling, developer-productivity",Draft,2028-08-08-getting-started-with-neovim-dotnet.md
